,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars)
1,61512
2,86831
3,67886
4,57421
5,82009
6,84918
7,93870
8,77082
9,106528
10,64003
11,67983
12,91460
13,64178
14,79168
15,68085
16,75076
17,72057
18,61593
19,60510
20,72177
21,98393
22,98758
23,69664
24,86416
25,55937
26,67317
27,68994
28,75112
29,68276
30,91029
31,97300
32,58308
33,80114
34,65964
35,81869
36,69632
37,61471
38,73202
39,75949
40,84557
41,62432
42,73236
43,62926
44,70136
45,77940
46,74426
47,86279
48,84594
49,56086
50,75413
51,74868
