,Estimate; INCOME IN THE PAST 12 MONTHS (IN 2013 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars),Estimate; INCOME IN THE PAST 12 MONTHS (IN 2014 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars),Estimate; INCOME IN THE PAST 12 MONTHS (IN 2015 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars),Estimate; INCOME IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars),Estimate; INCOME IN THE PAST 12 MONTHS (IN 2017 INFLATION-ADJUSTED DOLLARS) - Families - Median family income (dollars),mean
0,54045,53764,57160,59764,61512,57249.0
1,85385,82307,86376,88604,86831,85900.6
2,57163,59700,61042,63877,67886,61933.6
3,50415,51528,52449,55484,57421,53459.4
4,68222,71015,73581,77359,82009,74437.2
5,72043,75405,78384,80761,84918,78302.2
6,85563,88819,91388,94449,93870,90817.8
7,69394,72594,74931,74251,77082,73650.4
8,72337,84094,94846,98498,106528,91260.6
9,55774,57212,59339,61289,64003,59523.4
10,57458,58885,61250,65018,67983,62118.8
11,80316,79187,83823,86768,91460,84310.8
12,56176,58101,60081,63182,64178,60343.6
13,69557,71796,73884,76950,79168,74271.0
14,59428,60780,63165,66032,68085,63498.0
15,66684,67771,69382,72351,75076,70252.8
16,64969,66425,69401,70792,72057,68728.8
17,54690,54776,56187,59023,61593,57253.8
18,55871,56573,58964,57490,60510,57881.6
19,60141,62078,64651,68277,72177,65464.8
20,87204,89678,91567,95336,98393,92435.6
21,83813,87951,90590,95207,98758,91263.8
22,60846,62143,63893,67330,69664,64775.2
23,75112,77941,79893,83344,86416,80541.2
24,47615,50178,50069,52672,55937,51294.2
25,58754,61299,62989,65058,67317,63083.4
26,60122,60643,64061,66288,68994,64021.6
27,64763,66120,71039,73488,75112,70104.4
28,59462,60824,63206,65384,68276,63430.4
29,77646,80581,85873,86696,91029,84365.0
30,85426,88419,90245,94546,97300,91187.2
31,54565,54705,56207,56802,58308,56117.4
32,70485,71115,73854,77379,80114,74589.4
33,56111,57380,60074,62289,65964,60363.6
34,73844,75221,79642,79530,81869,78021.2
35,61030,62300,65176,66722,69632,64972.0
36,56655,58710,60215,61633,61471,59736.8
37,61767,62670,66287,70929,73202,66971.0
38,66522,67876,70194,72313,75949,70570.8
39,71608,71212,76623,77940,84557,76388.0
40,54686,56491,59282,61535,62432,58885.2
41,61299,66936,67643,70853,73236,67993.4
42,54691,55557,57830,60659,62926,58332.6
43,61208,62830,65316,67025,70136,65303.0
44,67231,69535,71594,74181,77940,72096.2
45,68382,67154,75595,74805,74426,72072.4
46,75524,78290,80403,83306,86279,80760.4
47,71371,74193,76954,81234,84594,77669.2
48,51596,52413,53463,56703,56086,54052.2
49,65618,67187,70870,72891,75413,70395.8
50,71446,72460,75540,73574,74868,73577.6
